,Institute,Program Name,Quota,Opening Rank,Closing Rank
523,"National Institute of Technology, Tiruchirappalli","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,1997,6358
524,"National Institute of Technology, Rourkela","Physics (5 Years, Integrated Master of Science)",HS,26336,40230
525,Indian Institute  of Technology (ISM) Dhanbad,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,3463,5525
526,Indian Institute  of Technology Ropar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,1027,1983
527,"Birla Institute of Technology, Mesra,  Ranchi","Chemical Engineering (4 Years, Bachelor of Technology)",HS,18170,31376
528,National Institute of Technology Nagaland,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,27040,31681
529,National Institute of Technology Puducherry,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,16855,19170
530,National Institute of Technology Sikkim,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,23056,27788
531,Indian Institute of Information Technology Bhopal,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,13140,24227
532,"National Institute of Technology, Jamshedpur","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",HS,22732,31526
533,Indian Institute  of Technology Gandhinagar,"Materials Science and Engineering (4 Years, Bachelor of Technology)",AI,5885,6896
534,"National Institute of Technology, Rourkela","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",HS,19089,25211
535,"National Institute of Technology, Warangal","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",OS,11465,15934
536,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Instrumentation and Control Engineering (4 Years, Bachelor of Technology)",OS,15293,23886
537,National Institute of Technology Durgapur,"Electrical Engineering (4 Years, Bachelor of Technology)",HS,10841,20171
538,National Institute of Technology  Agartala,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,27467,147795
539,"National Institute of Technology, Rourkela","Industrial Design (4 Years, Bachelor of Technology)",HS,25870,29963
540,National Institute of Technology  Agartala,"Chemistry (5 Years, Bachelor of Science and Master of Science (Dual Degree))",HS,74093,314766
541,"Indian Institute of Engineering Science and Technology, Shibpur","Information Technology (4 Years, Bachelor of Technology)",OS,12036,14286
542,Indian Institute  of Technology Delhi,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,226,416
543,Indian Institute  of Technology Kharagpur,"Industrial and Systems Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,3487,4142
544,"Visvesvaraya National Institute of Technology, Nagpur","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,4060,9241
545,"Visvesvaraya National Institute of Technology, Nagpur","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",HS,17673,23245
546,National Institute of Technology  Agartala,"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",HS,187290,313524
547,National Institute of Technology  Agartala,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,17774,24961
548,Maulana Azad National Institute of Technology Bhopal,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,10469,17695
549,"Indian Institute of Information Technology, Allahabad","Electronics and Communication Engineering and M.Tech. Bio-Medical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,9627,10391
550,National Institute of Technology Hamirpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,21086,66803
551,Indian Institute  of Technology Kanpur,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,1474,3028
552,"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,17874,27441
553,"School of Planning & Architecture, New Delhi","Planning (4 Years, Bachelor of Planning)",AI,606,1507
